timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
311969080,311969134,54,118,126,35,311969169,311969220,51,88,72,148,311969368,311969410,42,134,125,83,311969493,311969551,58,120,146,33,pin-length-4
311971562,311971600,38,98,109,27,311971627,311971679,52,103,62,144,311971823,311971868,45,148,162,42,311971910,311971984,74,116,156,33,pin-length-4
311979700,311979728,28,47,136,949,311980677,311980721,44,35,122,326,311981047,311981128,81,121,114,203,311981331,311981354,23,52,75,33,pin-length-4
311982203,311982221,18,71,93,168,311982389,311982405,16,24,31,269,311982674,311982713,39,110,120,186,311982899,311982947,48,18,120,33,pin-length-4
328981366,328981495,129,81,66,220,328981715,328981820,105,58,72,417,328982237,328982341,104,65,67,264,328982605,328982703,98,61,72,34,pin-length-4
328983628,328983760,132,96,62,187,328983947,328984068,121,76,82,249,328984317,328984420,103,78,66,258,328984678,328984773,95,63,89,34,pin-length-4
328985609,328985739,130,79,73,177,328985916,328986031,115,61,78,231,328986262,328986367,105,64,77,229,328986596,328986685,89,74,68,34,pin-length-4
328988360,328988464,104,75,64,129,328988593,328988715,122,62,92,145,328988860,328989000,140,58,60,171,328989171,328989252,81,53,106,34,pin-length-4
328990044,328990175,131,70,68,129,328990304,328990419,115,56,79,212,328990631,328990711,80,57,70,220,328990931,328991013,82,76,46,34,pin-length-4
246506085,246506196,111,118,96,607,246506803,246506880,77,121,68,625,246507505,246507607,102,119,101,301,246507908,246507983,75,144,69,36,pin-length-4
246509660,246509754,94,141,87,566,246510320,246510396,76,128,109,568,246510964,246511075,111,107,75,317,246511392,246511451,59,125,93,36,pin-length-4
246512740,246512851,111,108,102,476,246513327,246513403,76,111,107,492,246513895,246513988,93,93,104,286,246514274,246514350,76,123,89,36,pin-length-4
246516055,246516149,94,126,86,392,246516541,246516618,77,151,86,676,246517294,246517378,84,90,81,218,246517596,246517656,60,131,72,36,pin-length-4
246519099,246519158,59,130,86,534,246519692,246519751,59,115,95,600,246520351,246520427,76,95,100,259,246520686,246520737,51,117,86,36,pin-length-4
329765833,329765979,146,59,79,254,329766233,329766365,132,58,54,463,329766828,329766934,106,68,83,398,329767332,329767421,89,56,60,37,pin-length-4
329768315,329768435,120,73,68,265,329768700,329768803,103,54,70,408,329769211,329769358,147,49,41,298,329769656,329769760,104,81,72,37,pin-length-4
329770630,329770760,130,79,78,210,329770970,329771103,133,58,83,305,329771408,329771538,130,72,70,299,329771837,329771924,87,72,63,37,pin-length-4
329773623,329773753,130,86,55,228,329773981,329774122,141,58,84,287,329774409,329774524,115,73,69,300,329774824,329774910,86,52,67,37,pin-length-4
329776727,329776867,140,91,65,176,329777043,329777174,131,81,94,300,329777474,329777604,130,71,68,244,329777848,329777946,98,51,77,37,pin-length-4
330191344,330191442,98,66,61,466,330191908,330192013,105,75,78,263,330192276,330192416,140,70,75,264,330192680,330192761,81,68,74,39,pin-length-4
330193602,330193691,89,58,55,337,330194028,330194143,115,86,96,230,330194373,330194512,139,81,55,264,330194776,330194847,71,48,82,39,pin-length-4
330195739,330195870,131,67,54,255,330196125,330196266,141,58,93,143,330196409,330196568,159,59,46,203,330196771,330196870,99,26,64,39,pin-length-4
330197685,330197776,91,54,81,304,330198080,330198178,98,58,75,177,330198355,330198497,142,61,82,186,330198683,330198766,83,84,83,39,pin-length-4
330199657,330199789,132,57,59,280,330200069,330200183,114,49,96,230,330200413,330200552,139,64,71,169,330200721,330200796,75,48,76,39,pin-length-4
21530493,21530591,98,62.8418121337891,77.6292114257813,117,21530708,21530798,90,56.8473663330078,61.5609130859375,76,21530874,21530965,91,131.478271484375,107.541259765625,84,21531049,21531132,83,115.493041992188,142.601440429688,41,pin-length-4
21532024,21532108,84,45.8575439453125,131.606140136719,99,21532207,21532289,82,22.8788146972656,83.551513671875,77,21532366,21532431,65,98.5087890625,92.547607421875,77,21532508,21532589,81,89.51708984375,89.6240844726563,41,pin-length-4
21533194,21533283,89,26.8751220703125,82.6270751953125,92,21533375,21533466,91,19.881591796875,65.5592041015625,59,21533525,21533598,73,103.504150390625,105.542114257813,85,21533683,21533766,83,77.5282287597656,124.609130859375,41,pin-length-4
21534517,21534616,99,15.8852920532227,110.615112304688,92,21534708,21534808,100,61.8427429199219,38.5706787109375,109,21534917,21534983,66,76.5291442871094,96.5458984375,92,21535075,21535150,75,83.5226440429688,129.606994628906,41,pin-length-4
