timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
3602859,3602933,74,128.78076171875,54.5840454101563,561,3603494,3603573,79,109.198913574219,90.3653564453125,102,3603675,3603752,77,109.198913574219,97.36181640625,180,3603932,3604023,91,123.785385131836,176.320678710938,7,pin-length-4
7081402,7081509,107,46.9565200805664,131.544494628906,517,7082026,7082150,124,93.2470092773437,85.3685302734375,66,7082216,7082317,101,97.2432861328125,102.359619140625,192,7082509,7082598,89,109.898239135742,134.343017578125,7,pin-length-4
7084993,7085115,122,35.9666976928711,79.571533203125,685,7085800,7085933,133,72.2664184570313,118.351318359375,56,7085989,7086104,115,86.2534790039063,83.36962890625,538,7086642,7086740,98,101.905639648438,134.343017578125,7,pin-length-4
7089076,7089165,89,69.9352416992187,83.5694580078125,464,7089629,7089761,132,77.2617797851563,85.3685302734375,78,7089839,7089941,102,76.2626953125,74.374267578125,374,7090315,7090378,63,124.884368896484,105.358154296875,7,pin-length-4
7092827,7092927,100,51.9518966674805,84.5689697265625,554,7093481,7093602,121,86.2534790039063,95.36328125,76,7093678,7093781,103,93.2470092773437,75.373779296875,505,7094286,7094385,99,109.898239135742,94.3638916015625,7,pin-length-4
7096882,7097003,121,51.9518966674805,122.549194335938,530,7097533,7097631,98,86.2534790039063,96.36279296875,90,7097721,7097824,103,92.2479248046875,96.36279296875,438,7098262,7098360,98,91.9148941040039,72.375244140625,7,pin-length-4
7100776,7100914,138,58.9454193115234,97.5621948242187,540,7101454,7101566,112,67.2710571289062,102.359619140625,74,7101640,7101755,115,73.2655029296875,90.365966796875,505,7102260,7102337,77,97.9093475341797,75.373779296875,7,pin-length-4
7104730,7104843,113,99.9074935913086,140.539794921875,542,7105385,7105496,111,82.2572021484375,104.358642578125,76,7105572,7105674,102,87.2525634765625,105.358154296875,394,7106068,7106179,111,127.881591796875,93.3643798828125,7,pin-length-4
326110118,326110196,78,122,52,263,326110459,326110504,45,129,97,237,326110741,326110796,55,104,108,348,326111144,326111180,36,114,137,8,pin-length-4
326171026,326171040,14,95,103,279,326171319,326171348,29,80,87,269,326171617,326171649,32,108,92,470,326172119,326172148,29,137,22,8,pin-length-4
326184149,326184202,53,80,178,263,326184465,326184502,37,93,99,273,326184775,326184827,52,41,76,428,326185255,326185277,22,79,154,8,pin-length-4
326193658,326193713,55,120,69,330,326194043,326194080,37,96,116,260,326194340,326194372,32,92,108,411,326194783,326194814,31,106,153,8,pin-length-4
326201611,326201683,72,103,114,235,326201918,326201983,65,123,78,296,326202279,326202316,37,103,71,553,326202869,326202909,40,115,113,8,pin-length-4
326210421,326210460,39,96,53,295,326210755,326210794,39,106,106,243,326211037,326211070,33,152,42,345,326211415,326211443,28,142,69,8,pin-length-4
326229394,326229466,72,67,120,613,326230079,326230158,79,49,92,454,326230612,326230684,72,68,62,811,326231495,326231576,81,90,154,8,pin-length-4
326238124,326238177,53,111,80,236,326238413,326238452,39,59,84,194,326238646,326238711,65,15,83,428,326239139,326239161,22,121,109,8,pin-length-4
326243524,326243571,47,92,80,192,326243763,326243820,57,93,146,185,326244005,326244050,45,70,115,274,326244324,326244354,30,80,173,8,pin-length-4
326248502,326248509,7,62,89,251,326248760,326248775,15,91,113,258,326249033,326249088,55,108,64,377,326249465,326249505,40,118,53,8,pin-length-4
326253802,326253848,46,138,104,203,326254051,326254098,47,126,140,160,326254258,326254315,57,118,85,407,326254722,326254741,19,127,55,8,pin-length-4
326118537,326118591,54,108,120,212,326118803,326118832,29,115,147,180,326119012,326119057,45,122,132,294,326119351,326119374,23,150,139,8,pin-length-4
326265222,326265236,14,70,103,136,326265372,326265427,55,99,81,152,326265579,326265644,65,145,104,343,326265987,326265994,7,70,48,8,pin-length-4
121035571,121035618,47,92,91,85,121035703,121035769,66,86,93,126,121035895,121035936,41,131,85,101,121036037,121036052,15,66,86,8,pin-length-4
121037147,121037169,22,67,129,76,121037245,121037286,41,79,93,153,121037439,121037452,13,68,103,85,121037537,121037571,34,91,116,8,pin-length-4
121038371,121038403,32,109,74,101,121038504,121038546,42,76,109,130,121038676,121038703,27,59,101,76,121038779,121038820,41,105,56,8,pin-length-4
121039665,121039718,53,112,118,78,121039796,121039812,16,114,108,175,121039987,121040022,35,116,82,71,121040093,121040129,36,110,70,8,pin-length-4
121042373,121042413,40,86,104,37,121042450,121042514,64,73,141,125,121042639,121042704,65,107,134,43,121042747,121042779,32,80,85,8,pin-length-4
326126421,326126476,55,102,130,227,326126703,326126751,48,127,95,227,326126978,326127022,44,100,96,375,326127397,326127427,30,87,134,8,pin-length-4
326131826,326131861,35,114,123,194,326132055,326132103,48,110,66,177,326132280,326132328,48,77,76,377,326132705,326132712,7,63,136,8,pin-length-4
326137056,326137096,40,84,95,270,326137366,326137404,38,90,123,287,326137691,326137721,30,109,83,454,326138175,326138205,30,89,119,8,pin-length-4
326143794,326143840,46,116,100,235,326144075,326144115,40,106,83,236,326144351,326144407,56,89,105,436,326144843,326144882,39,132,114,8,pin-length-4
326153537,326153584,47,134,91,227,326153811,326153877,66,124,107,243,326154120,326154160,40,106,51,354,326154514,326154545,31,109,96,8,pin-length-4
326160022,326160061,39,128,88,194,326160255,326160295,40,63,75,194,326160489,326160495,6,30,59,369,326160864,326160878,14,88,73,8,pin-length-4
326164873,326164914,41,97,140,225,326165139,326165180,41,139,119,234,326165414,326165463,49,114,74,429,326165892,326165905,13,82,158,8,pin-length-4
