area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.168627455830574,541639085,541639225,140,118,58,0,0.164705887436867,741,541639966,541640138,172,115,108,0,0.172549024224281,679,541640817,541640930,113,108,52,0,0.172549024224281,837,541641767,541641949,182,123,134,19,pin-length-4
0,0.164705887436867,541648852,541649086,234,124,99,0,0.164705887436867,598,541649684,541649911,227,118,101,0,0.168627455830574,541,541650452,541650649,197,129,123,0,0.188235312700272,578,541651227,541651353,126,140,64,19,pin-length-4
0,0.184313729405403,541653461,541653685,224,135,96,0,0.164705887436867,513,541654198,541654432,234,136,113,0,0.196078449487686,556,541654988,541655153,165,95,134,0,0.184313729405403,530,541655683,541655831,148,134,114,19,pin-length-4
0,0.003921568859369,320356987,320357046,59,137,66,0,0.003921568859369,293,320357339,320357406,67,119,86,0,0.003921568859369,441,320357847,320357915,68,159,136,0,0.003921568859369,219,320358134,320358177,43,127,87,20,pin-length-4
0,0.003921568859369,320365268,320365362,94,169,109,0,0.003921568859369,275,320365637,320365704,67,101,58,0,0.003921568859369,700,320366404,320366472,68,171,125,0,0.003921568859369,226,320366698,320366757,59,113,56,20,pin-length-4
0,0.003921568859369,320376888,320376964,76,155,88,0,0.003921568859369,283,320377247,320377315,68,96,97,0,0.003921568859369,567,320377882,320377951,69,157,112,0,0.003921568859369,1157,320379108,320379175,67,157,106,20,pin-length-4
0,0.003921568859369,320386229,320386322,93,157,98,0,0.003921568859369,251,320386573,320386649,76,89,110,0,0.003921568859369,508,320387157,320387225,68,180,128,0,0.003921568859369,258,320387483,320387560,77,99,89,20,pin-length-4
0,0.003921568859369,320394030,320394097,67,158,106,0,0.003921568859369,176,320394273,320394332,59,72,114,0,0.003921568859369,442,320394774,320394824,50,152,134,0,0.003921568859369,267,320395091,320395159,68,133,89,20,pin-length-4
0,1,142353663,142353712,49,94,96,0,1,135,142353847,142353913,66,77,114,0,1,260,142354173,142354188,15,125,92,0,1,243,142354431,142354471,40,103,109,22,pin-length-4
0,1,142355481,142355547,66,123,161,0,1,201,142355748,142355773,25,63,116,0,1,217,142355990,142355997,7,68,115,0,1,217,142356214,142356272,58,117,113,22,pin-length-4
0,1,142357116,142357163,47,83,96,0,1,145,142357308,142357357,49,115,117,0,1,133,142357490,142357539,49,39,145,0,1,177,142357716,142357764,48,104,132,22,pin-length-4
0,1,142358399,142358439,40,83,84,0,1,151,142358590,142358639,49,107,113,0,1,151,142358790,142358823,33,66,105,0,1,186,142359009,142359065,56,82,99,22,pin-length-4
0,1,142359750,142359797,47,70,79,0,1,152,142359949,142360007,58,98,101,0,1,411,142360418,142360448,30,90,77,0,1,194,142360642,142360691,49,74,117,22,pin-length-4
