area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,58218106,58218216,110,119,86,0,0.003921568859369,235,58218451,58218561,110,107,122,0,0.003921568859369,377,58218938,58219066,128,99,81,0,0.003921568859369,268,58219334,58219437,103,90,108,0,0.003921568859369,442,58219879,58219973,94,110,89,0,0.003921568859369,226,58220199,58220275,76,157,137,15,pin-length-6
0,0.003921568859369,58223564,58223683,119,106,87,0,0.003921568859369,359,58224042,58224127,85,101,101,0,0.003921568859369,403,58224530,58224631,101,86,97,0,0.003921568859369,268,58224899,58225010,111,87,116,0,0.003921568859369,351,58225361,58225455,94,116,80,0,0.003921568859369,235,58225690,58225784,94,131,127,15,pin-length-6
0,0.003921568859369,58228508,58228620,112,95,82,0,0.003921568859369,317,58228937,58229017,80,94,101,0,0.003921568859369,368,58229385,58229478,93,108,96,0,0.003921568859369,218,58229696,58229781,85,90,109,0,0.003921568859369,368,58230149,58230251,102,108,91,0,0.003921568859369,226,58230477,58230571,94,126,110,15,pin-length-6
0,0.003921568859369,58240284,58240386,102,108,66,0,0.003921568859369,168,58240554,58240655,101,79,104,0,0.003921568859369,301,58240956,58241075,119,135,96,0,0.003921568859369,193,58241268,58241362,94,86,111,0,0.003921568859369,326,58241688,58241782,94,136,119,0,0.003921568859369,159,58241941,58242026,85,139,129,15,pin-length-6
0,0.003921568859369,249326890,249326975,85,53,135,0,0.003921568859369,134,249327109,249327185,76,122,84,0,0.003921568859369,251,249327436,249327505,69,67,104,0,0.003921568859369,266,249327771,249327874,103,140,58,0,0.003921568859369,801,249328675,249328742,67,110,93,0,0.003921568859369,209,249328951,249329019,68,121,95,16,pin-length-6
0,0.003921568859369,249332786,249332889,103,75,127,0,0.003921568859369,217,249333106,249333218,112,122,88,0,0.003921568859369,657,249333875,249333961,86,87,104,0,0.003921568859369,243,249334204,249334289,85,120,95,0,0.003921568859369,392,249334681,249334766,85,110,85,0,0.003921568859369,151,249334917,249335002,85,113,99,16,pin-length-6
0,0.003921568859369,249337194,249337279,85,81,122,0,0.003921568859369,218,249337497,249337591,94,129,79,0,0.003921568859369,367,249337958,249338034,76,69,118,0,0.003921568859369,276,249338310,249338404,94,116,101,0,0.003921568859369,359,249338763,249338840,77,102,108,0,0.003921568859369,125,249338965,249339033,68,94,119,16,pin-length-6
0,0.003921568859369,249340775,249340895,120,66,127,0,0.003921568859369,243,249341138,249341206,68,121,89,0,0.003921568859369,501,249341707,249341787,80,83,127,0,0.003921568859369,293,249342080,249342173,93,124,122,0,0.003921568859369,502,249342675,249342769,94,131,75,0,0.003921568859369,209,249342978,249343029,51,121,97,16,pin-length-6
0,0.003921568859369,249347503,249347596,93,77,116,0,0.003921568859369,218,249347814,249347908,94,105,80,0,0.003921568859369,661,249348569,249348659,90,83,121,0,0.003921568859369,234,249348893,249349004,111,117,110,0,0.003921568859369,426,249349430,249349497,67,116,105,0,0.003921568859369,160,249349657,249349742,85,110,120,16,pin-length-6
0,0.003921568859369,320860480,320860573,93,124,90,0,0.003921568859369,343,320860916,320860992,76,130,116,0,0.003921568859369,410,320861402,320861478,76,105,83,0,0.003921568859369,1514,320862992,320863033,41,150,86,0,0.003921568859369,892,320863925,320864019,94,92,100,0,0.003921568859369,226,320864245,320864321,76,91,87,17,pin-length-6
